bit_length,semiprime,lattice_dimension,precision_parameter,smoothness_bound,sr_pairs,ground_truth_sr_pairs
20,532409,7,4,49,4,4
20,536033,7,4,49,8,9
20,647123,7,4,49,11,12
20,545803,7,4,49,1,1
20,796153,7,4,49,6,8
20,652133,7,4,49,12,12
20,551891,7,4,49,3,3
20,856829,7,4,49,5,6
30,563939053,10,4,100,5,6
30,564323827,10,4,100,2,3
30,715212119,10,4,100,3,3
30,694529093,10,4,100,5,5
30,690933469,10,4,100,4,4
30,565162307,10,4,100,7,11
30,581710007,10,4,100,7,7
30,545719529,10,4,100,2,2
30,818404439,10,4,100,2,3
30,741552941,10,4,100,8,8
30,654404291,10,4,100,3,3
30,811071637,10,4,100,3,4
30,774596531,10,4,100,1,1
30,681947947,10,4,100,4,8
30,668428091,10,4,100,0,0
30,665382103,10,4,100,7,13
30,742276453,10,4,100,1,1
30,884168293,10,4,100,0,0
30,595735597,10,4,100,10,12
30,613644797,10,4,100,12,15
30,575755291,10,4,100,6,6
30,555925141,10,4,100,4,7
30,867640859,10,4,100,12,13
30,640059169,10,4,100,9,9
30,665759807,10,4,100,1,3
30,560912731,10,4,100,1,2
30,679633607,10,4,100,0,0
30,723596101,10,4,100,6,10
30,730508287,10,4,100,4,4
30,873350111,10,4,100,1,1
30,819964709,10,4,100,1,1
30,755278981,10,4,100,3,5
30,739992947,10,4,100,6,6
30,741975907,10,4,100,2,2
30,564900247,10,4,100,2,2
30,680522131,10,4,100,3,7
30,602135993,10,4,100,2,3
30,855779579,10,4,100,2,4
30,738698629,10,4,100,1,1
30,639803821,10,4,100,6,9
30,764936363,10,4,100,2,2
30,571592279,10,4,100,3,3
30,547674331,10,4,100,3,4
30,639979427,10,4,100,5,6
30,1001436509,10,4,100,7,8
30,541831159,10,4,100,4,5
30,573222187,10,4,100,5,6
30,661007519,10,4,100,1,1
30,581213681,10,4,100,6,6
30,859389059,10,4,100,4,6
30,686178011,10,4,100,1,1
30,697094693,10,4,100,7,11
30,648775667,10,4,100,2,2
30,662964901,10,4,100,6,6
30,611918873,10,4,100,5,9
30,817119119,10,4,100,0,0
30,751289137,10,4,100,9,12
30,612242101,10,4,100,3,3
30,551429777,10,4,100,6,7
30,600365531,10,4,100,9,10
30,563628101,10,4,100,24,26
30,728130833,10,4,100,6,8
30,923743333,10,4,100,13,13
30,668678579,10,4,100,0,0
30,572345849,10,4,100,19,24
30,767891557,10,4,100,5,6
30,889805771,10,4,100,4,4
30,898213441,10,4,100,8,9
30,779732911,10,4,100,13,16
30,741960619,10,4,100,7,8
30,605691497,10,4,100,5,6
30,604821353,10,4,100,5,7
30,724091699,10,4,100,3,3
30,670687177,10,4,100,4,4
30,629628421,10,4,100,1,1
30,632579509,10,4,100,1,2
30,640589107,10,4,100,2,2
30,628916191,10,4,100,1,1
30,893598163,10,4,100,5,6
30,556418417,10,4,100,2,3
30,757303181,10,4,100,1,1
30,843424537,10,4,100,1,1
30,780900737,10,4,100,6,7
30,591898519,10,4,100,0,0
30,762727529,10,4,100,12,12
30,557702207,10,4,100,4,4
30,750334799,10,4,100,6,6
30,612340193,10,4,100,7,9
30,702595207,10,4,100,4,4
30,630427261,10,4,100,3,3
30,603928531,10,4,100,3,4
30,891510397,10,4,100,5,6
30,712755587,10,4,100,6,6
30,1001829223,10,4,100,2,4
30,592337089,10,4,100,7,10
30,782341979,10,4,100,10,11
30,708725483,10,4,100,0,0
30,783209419,10,4,100,1,1
30,973950841,10,4,100,0,0
30,839884733,10,4,100,1,1
30,596536933,10,4,100,2,3
30,873551807,10,4,100,10,13
30,569960057,10,4,100,14,19
30,865910063,10,4,100,8,9
30,644110997,10,4,100,2,2
30,680895731,10,4,100,0,0
30,638950489,10,4,100,13,13
30,617550937,10,4,100,17,18
30,788893643,10,4,100,3,3
30,679214749,10,4,100,8,13
30,617755291,10,4,100,8,12
30,799688707,10,4,100,1,2
30,690247157,10,4,100,7,7
30,892345081,10,4,100,0,0
30,604738579,10,4,100,1,1
30,552163489,10,4,100,4,5
30,537653503,10,4,100,4,8
30,736412323,10,4,100,2,2
30,586426861,10,4,100,9,9
30,920714689,10,4,100,7,7
30,811584583,10,4,100,3,3
30,758696083,10,4,100,2,2
30,574057271,10,4,100,2,2
30,940178861,10,4,100,2,2
30,618810547,10,4,100,1,1
30,573774373,10,4,100,3,3
30,753198337,10,4,100,12,14
30,614781143,10,4,100,2,4
30,814473307,10,4,100,12,18
30,682621567,10,4,100,1,1
30,966512011,10,4,100,5,6
30,618009193,10,4,100,5,5
30,838423123,10,4,100,3,4
30,642241777,10,4,100,13,18
30,602848711,10,4,100,3,3
30,808357937,10,4,100,7,7
30,658800763,10,4,100,3,3
30,602753237,10,4,100,8,9
30,597926983,10,4,100,3,3
30,574701887,10,4,100,4,6
30,564594617,10,4,100,10,10
30,618671329,10,4,100,7,9
30,596652137,10,4,100,12,14
30,651981917,10,4,100,2,2
30,831568901,10,4,100,1,1
30,567476047,10,4,100,8,9
30,828945563,10,4,100,0,0
30,747099389,10,4,100,1,2
30,615847387,10,4,100,5,5
30,559311433,10,4,100,3,3
30,717588073,10,4,100,4,4
30,614438501,10,4,100,1,1
30,794216099,10,4,100,5,5
30,570207311,10,4,100,3,6
30,787620241,10,4,100,3,3
30,654598067,10,4,100,7,8
30,791244947,10,4,100,1,1
30,649041331,10,4,100,2,4
30,978459749,10,4,100,7,7
30,594318811,10,4,100,3,3
30,732867269,10,4,100,1,1
30,715104413,10,4,100,4,4
30,681290957,10,4,100,8,9
30,579845107,10,4,100,10,10
30,639020387,10,4,100,2,2
30,722839157,10,4,100,12,13
30,731224201,10,4,100,0,0
30,696236449,10,4,100,5,8
30,926312071,10,4,100,4,6
30,779208127,10,4,100,9,10
30,676913333,10,4,100,1,1
30,601060013,10,4,100,12,13
30,608626159,10,4,100,1,2
30,732753367,10,4,100,4,4
30,628610713,10,4,100,7,8
30,690912587,10,4,100,4,4
30,808544057,10,4,100,3,3
30,550931539,10,4,100,3,3
30,563835509,10,4,100,2,3
30,548974549,10,4,100,8,9
30,749176303,10,4,100,6,6
30,1050544969,10,4,100,8,8
30,543102559,10,4,100,1,2
30,821630759,10,4,100,0,0
30,869715689,10,4,100,0,0
30,698827301,10,4,100,4,4
