lattice_id,u,s,smoothness_value,smoothness_index,cost
221,19628732032,7948753,257,54,231
223,21581735175,-11392153,199,45,285
223,674269596,-515633,107,27,269
226,581187789,45298,71,19,125
226,2905453408,-259047,269,56,188
226,109878965248,43034449,73,20,318
228,1732459729,-44325,197,44,190
228,13004697706,10917301,127,30,164
228,9537774584,9002287,223,47,214
229,681305625,358492,89,23,83
230,691157610,-122591,211,46,111
231,1217017165,-255789,293,61,98
231,138727146103,-41970653,197,44,195
232,34071510330,221407,271,57,205
232,168973005520,7225759,103,26,218
234,17101765885061,-11358420923,251,53,229
234,76400034645,2158279,233,50,279
236,291310571251,70350317,281,59,91
238,28044617120,-3820663,59,16,282
238,102809865431,-34406440,239,51,219
238,8304850125,-5798107,139,33,381
240,229259689659,509330,53,15,315
240,286321483071,-54171250,151,35,157
240,10312952335,255642,311,63,91
240,3966298336,-123469,71,19,290
240,5552258400,-732127,113,29,310
240,793450944,166583,239,51,215
242,5997428736,10114655,277,58,358
242,856359868,1029285,257,54,146
244,8839673430,1295981,67,18,72
244,803396880,-91979,103,26,191
244,7232225000,825269,163,37,346
244,8841661920,3284471,311,63,223
244,290115540000,56061901,107,27,382
246,89914041250,6061599,167,38,164
246,12175273775,7276529,179,40,212
246,11495859375,3861976,151,35,307
248,44044000000,-24141659,139,33,341
248,123648437500,84824613,73,20,143
249,232517202177,16062625,151,35,122
249,10560812845,-7420771,311,63,124
250,341177629338,-1346287,239,51,194
250,83007369599,32642727,241,52,203
251,2713346727,1448612,73,20,106
252,15194415159,-11346815,167,38,167
252,22785975245,-22667716,239,51,261
254,691347566,-59015,37,11,297
254,22828203125,11785952,109,28,176
255,586850625,-17372,101,25,189
255,440383062119,232064369,167,38,263
255,14687123633,15423708,47,14,265
255,1175892159,2156165,199,45,451
255,2936586268,2246283,263,55,169
257,2123795960,679847,197,44,114
258,173630708251,-14918499,73,20,199
259,846220518,14195,167,38,77
259,3385453071,627779,47,14,133
259,54170934675,13730003,139,33,295
260,42257626818,-5609977,73,20,107
261,8285809180,59487,251,53,238
262,6365007961,1133051,271,57,189
263,605755150,-208917,167,38,102
263,126652677970,6187967,311,63,167
263,73328125000,6472893,163,37,203
263,7874453125,-3079746,173,39,130
263,218753609375,581188,109,28,141
264,53998140625,22762042,151,35,184
265,1177133125,291411,251,53,73
265,2721084073617,226030849,113,29,413
265,480315620785,164201473,229,49,484
267,831825225,145424,149,34,218
267,27444978925,-454508,83,22,142
267,6652570925,-867483,89,23,207
267,47424251875,18503218,251,53,310
268,13423439799,-10040900,79,21,339
268,19730443194,-24675481,191,42,371
268,256767313473,-49229302,149,34,466
268,789535890,-668857,107,27,267
268,15026579568,12689375,257,54,215
269,606568806,-135125,47,14,123
269,1767996588475,-1152074321,197,44,305
269,46113865083,4366327,157,36,222
270,1387527687,1151149,179,40,129
271,898371243,-379054,239,51,174
271,898823937,73640,263,55,291
274,1842770930,490823,223,47,158
275,3185361179,-1262736,79,21,134
275,270745526051,-117506724,277,58,192
276,17130345141,-126701,257,54,302
277,791243563,-524170,53,15,158
279,2604602385,-1022827,101,25,264
280,701298455,192066,269,56,57
280,701298455,192066,269,56,57
280,6313628750,3671249,223,47,101
280,6313628750,3671249,223,47,101
281,7025157945,-1359806,103,26,152
281,156323901591,-175811954,227,48,382
282,92019070143,-91794265,163,37,254
282,2424777201,807085,127,30,172
282,38773941921,-9579935,307,62,316
284,214219704985,-149678579,251,53,239
285,1037597656250,-423624123,229,49,359
285,121323022205,-4140436,239,51,246
285,16136568315725,55684472,137,32,168
285,709314375,-201196,281,59,79
285,49650979433,-15110537,269,56,100
285,708984375,-531196,79,21,234
285,4972449625,5840628,101,25,231
285,36226650889,41356768,271,57,430
288,568420853,-108356,263,55,213
288,568774899,245690,311,63,248
289,1638027027,-770095,113,29,265
289,236787886764,-18297365,283,60,213
289,2459102360,906677,191,42,104
290,562122561,-52022,37,11,109
290,1942875297077,-61771,277,58,323
290,1686844159,320410,179,40,223
290,1687538048,1014299,173,39,198
290,10685890600,4573523,73,20,233
291,408624905601,-62015314,277,58,98
292,63649050192,-1004623,229,49,142
293,3976536200000,7026702101,179,40,964
294,2827733216,4805551,113,29,392
296,4836936951,925696,113,29,75
296,967620654,418403,83,22,131
296,349283382525,123369914,167,38,319
296,3868725861,-83143,61,17,240
296,7735877149,-1740859,137,32,410
299,858097152,-753865,181,41,393
299,4014669424896,-459079579,277,58,556
299,171720141021,-50062379,139,33,283
301,181226399640,67967969,157,36,191
302,20559049997,15760446,127,30,222
303,127325604062293,43307761320,397,77,264
304,17393248250,6914751,277,58,144
305,20315583750,6166709,379,74,170
305,426399527125,-98230736,379,74,184
306,603398417622,-123338405,277,58,316
306,9467935465219,-4732096770,283,60,187
306,472520134801,198760519,277,58,298
306,78715187210,-5041837,379,74,116
308,5638415627075,-7866662976,389,76,538
310,53008816953125,-9195330391,89,23,262
311,25438007595,11630624,151,35,54
311,483306528705,205366256,191,42,117
313,1162564454375,-87697077,193,43,206
313,156761886986055,94509577898,311,63,299
313,24599863854575,-798713648,197,44,230
316,1207501134114015,362964230677,379,74,339
319,44306993541811,-11566249664,317,65,258
319,547264866456,122152981,359,71,433
320,193667830431075,203304892228,367,72,311
321,9143509625250,-9397956541,293,61,347
321,430727312925,-296035802,307,62,247
321,72932173949250,89228014387,353,70,669
323,90198910802,-5802803,337,67,156
325,1437907960384,-14445471,409,79,146
325,27680091651399,27737692649,353,70,542
329,82584390625,-29609054,419,80,140
332,62890625000,74478473,227,48,207
334,3449677471933,-1220349503,227,48,169
334,22134312200,13172319,337,67,131
334,6400810944000,7801518391,359,71,272
335,19975890103,-29630370,127,30,308
335,19994115625,-11404848,373,73,322
336,424589076025,311294207,79,21,157
337,4534787293344,-1294207295,149,34,439
341,404194431850,29928029,211,46,143
344,13564472416924,-770421293,271,57,232
345,448498146096,697901615,163,37,264
345,448171442901,371198420,181,41,195
346,2146197351935,477061716,211,46,89
348,115810205544,168505739,191,42,347
349,24466736151,-21948530,67,18,293
350,2336072265625,416329713,419,80,180
350,22996073368125,-1154308547,419,80,281
351,112038907435,37150069,397,77,98
351,167974560250,-28075799,269,56,270
351,6740747071812,1974670291,367,72,440
351,300576377420475,168997205302,281,59,339
351,504111608000,103699853,67,18,338
352,625710217300,468961341,359,71,267
352,1333559360250,1523641033,251,53,278
355,10940708157717,-2023603435,163,37,275
355,85378993427,-111098457,127,30,313
358,214058758550,-46466487,241,52,219
358,8270153738847,-2093592128,401,78,280
360,27784071875,545436,139,33,70
361,4288763522043,-90568267,281,59,300
364,21853693215744,-39379621,397,77,280
364,17274864771,-813170,349,69,221
368,18278125875,-10369568,331,66,183
368,201258492750,85042877,401,78,193
369,645218919044531,243912438953,211,46,199
369,98786550775,75959008,179,40,182
370,22621617018,-4122845,397,77,162
370,45303880193,52400467,337,67,306
371,140862337902,29751343,157,36,147
371,985622134838,-205971075,349,69,152
373,465907738725,67371052,199,45,163
374,84375336309,-13476559,271,57,142
376,5446644532875,-926627332,337,67,220
376,6667816162109375,-10937983993,257,54,554
378,246090783120,-613343,331,66,279
378,22384934208,12989075,317,65,513
378,38552426349437,-39179004988,311,63,399
379,360540354720,103780853,419,80,124
383,34454917585,13303199,71,19,144
383,17229970450,9163257,283,60,122
383,17242925315,22118122,307,62,209
385,27583022665,12567554,233,50,127
387,102894387488750,-21153744349,281,59,524
388,5475968387500,-992848169,397,77,368
388,1161863971840,84315789,419,80,474
389,1811686156544,-808532215,223,47,293
389,156634843248,-500225,107,27,209
389,22356765739,-19711900,257,54,253
389,1723062127410,73349207,347,68,269
389,586898175159373,-350103998543,281,59,320
390,611026640717625,7259389241,389,76,401
390,56082718765073,-31306050799,269,56,322
390,305498235480867,-11455183325,317,65,420
392,3153887178247,53555769,283,60,156
394,20823727925,-10054788,179,40,138
395,1811958994366391,851698849421,383,75,259
395,2513721442375,604493183,137,32,450
397,96641015625,-71333827,179,40,314
398,42360120855,-1421959,313,64,101
398,21157264541,-23506866,409,79,320
398,21177162500,-3608907,271,57,233
400,988660750000,-512875227,313,64,355
402,8706286703868,7010807975,349,69,146
403,19776679844194,338321691,199,45,206
404,617780184450,688612627,457,87,130
404,56156438096748,1105060855,367,72,294
