lattice_id,u,s,smoothness_value,smoothness_index,cost
83,169954785,-18542,127,30,98
84,10995600,13837,137,32,210
84,54908469,-346,173,39,122
84,32941720,-3569,83,22,96
84,2534224,-29,29,9,110
84,373565115,185173,97,24,344
84,41399424,6625,53,15,238
85,893025,64,2,0,117
85,88367734,-35405,97,24,296
85,258011325,-54404,67,18,173
85,3570125,-1719,191,42,373
86,32155585,-656,41,12,44
86,2474329,772,193,43,93
86,5769885,-1748,23,8,75
86,17303000,-11899,163,37,375
86,714739025,-118948,227,48,179
87,584375,76,19,7,36
87,1751750,-1147,37,11,136
87,68359375,-3608,41,12,172
87,16212109375,1317919,113,29,249
87,386683451,-706786,103,26,447
87,337211875,-512947,151,35,401
88,3426962,927,103,26,106
88,85768683,117808,199,45,274
88,17114328,-15847,53,15,382
89,1226225,19,19,7,40
89,347633000,3599,61,17,267
89,7968750,-1589,227,48,251
89,425000000,119621,61,17,363
89,1838720,-589,31,10,158
89,30003402,-38645,131,31,359
89,66202675,-12449,211,46,262
89,71740900,7849,167,38,208
89,149072000,87971,101,25,396
89,1347500000,512709,149,34,270
89,82824896,55991,73,20,182
89,597601697,-173728,89,23,209
89,7968576,-1763,43,13,119
89,7964704,-5635,23,8,270
89,1472328000,267697,113,29,185
89,2454375,1963,151,35,152
89,46013968,31243,199,45,119
89,9813573,3925,157,36,159
89,4291650,-71,71,19,176
89,2436262400,2856593,193,43,442
89,76660276,22401,131,31,291
89,23936000,24983,83,22,199
90,728875,648,3,1,103
90,250000000,218139,89,23,386
90,729300,1073,37,11,202
91,117661005,-1384,173,39,107
91,13835745,-6889,83,22,107
92,5912634,-97,97,24,59
92,5917275,4544,71,19,145
92,603351125,252563,139,33,256
92,538265,744,31,10,193
92,236513641,4401,163,37,183
93,1446445,-157,157,36,42
93,15193750,4429,103,26,260
93,10122255,-3959,107,27,139
93,5788125,1717,101,25,382
93,174936125,-102717,113,29,262
93,18792225,-13601,67,18,172
93,722500,-801,89,23,408
93,12297285,1168,73,20,116
93,1447875,1273,67,18,298
93,55693950,-227,227,48,182
94,5826240,79,79,21,214
95,784329,92,23,8,36
95,2353208,497,71,19,98
95,3763454409,-2451665,197,44,200
95,662563814,-116451,227,48,230
95,69034875,22019,227,48,203
95,7055510,-2623,61,17,115
95,10182150,-12931,193,43,325
95,89596697575,2325747,179,40,281
95,1722620625,-348064,149,34,431
96,549250,-87,29,9,71
96,34606000,-2231,97,24,175
96,19751875,-24257,191,42,309
96,8783775,-5617,137,32,139
96,8236228,-3827,89,23,155
96,17540024125,-7997003,223,47,339
96,18126080,-2041,157,36,217
96,34587520,-20711,149,34,331
96,7137144,-4237,223,47,235
96,7133676,-7705,67,18,333
96,92683745,-154208,79,21,531
97,5812079,-1791,199,45,67
97,1161875,-899,31,10,150
97,564453125,-655039,181,41,417
98,812500,357,17,6,54
98,5686200,1199,109,28,247
98,159284697,104669,131,31,133
98,1353362985,332747,211,46,219
98,2197265625,1230953,103,26,244
98,22013671875,1348003,149,34,296
98,1625625,1339,103,26,121
98,13820625,14194,151,35,199
98,2752434555,894071,191,42,251
98,812175,32,2,0,55
98,20299734,-3841,167,38,292
98,6499899,2755,29,9,214
98,464551605,5809,157,36,362
98,520010127,238607,179,40,310
99,841568,69,23,8,53
99,12623962,1477,211,46,116
99,14310912,5429,89,23,188
99,4088307223,-1377917,223,47,445
99,7571200,-2291,79,21,212
100,89139564,88579,313,64,291
100,53453440,22849,313,64,123
100,9796674303,1065953,89,23,139
100,28007932140,-7507741,257,54,222
100,1763160100,-49403,389,76,144
100,2154915495,-118342,107,27,179
100,231720662400,-43431161,283,60,323
100,135757902592,-9229139,373,73,285
100,2157373440,2339603,359,71,262
100,3333474000,2967161,79,21,239
100,1443826150,1200193,401,78,182
100,11167351000,357481,83,22,216
100,195994500,82333,293,61,180
100,3332616625,2109786,263,55,223
100,784142255,493587,181,41,134
100,374412233,398096,179,40,254
100,26068574520,12256309,229,49,225
101,331230705,-848,53,15,87
101,38985765,17347,83,22,68
101,253828125,533408,211,46,538
101,272844975,66049,257,54,111
101,1481821575,1021691,317,65,138
101,546229125,671273,233,50,266
101,24028171875,23626387,227,48,347
101,1482853125,2053241,263,55,288
101,155859375,-14297,29,9,159
101,3818359375,-545589,167,38,188
101,272765625,-13301,283,60,103
101,3586309375,1214919,283,60,206
101,10610015625,10605929,307,62,486
101,34099177827,1812077,229,49,157
102,1934043573,-469475,211,46,189
102,180966998625,90028637,233,50,178
104,1363189087273,309421158,313,64,146
104,1069963059347,-66430578,199,45,227
104,93087478,963,107,27,58
104,2432897992217,305330328,419,80,131
105,6837877529,-2622917,409,79,142
105,2022876427,-940273,157,36,289
105,4188364180,-936389,269,56,246
105,121430575,1573,13,5,155
105,80946775,-5893,83,22,197
105,182003003,-140500,281,59,204
105,60736445,21944,211,46,102
105,1153640026,64507,257,54,110
105,384513701,-11472,239,51,190
105,318349605623,3238713,131,31,219
105,283461893,127555,263,55,72
105,303515212,-57293,53,15,150
105,668363969,504458,401,78,121
105,1113540239,441054,229,49,128
106,671373259284,-29856341,271,57,174
106,2736832813,2391033,271,57,203
106,14863744181,19631661,151,35,348
107,1084579375,-726002,163,37,184
108,42891849,24503,229,49,102
108,1351796875,1475476,163,37,185
108,703649784838,518142073,277,58,316
108,407618750,378963,79,21,192
108,536621932,780107,359,71,425
108,236121075,350672,101,25,274
108,21441420,7747,127,30,151
108,150218750,183039,97,24,159
108,34884860472,55141847,379,74,473
109,70195125,5177,167,38,115
109,807755949,571547,179,40,260
109,193135722,113365,79,21,60
109,44336101524,-6398125,353,70,236
109,192756652506,-2492189,281,59,244
109,122820750,-11659,131,31,123
109,1596746250,-75067,277,58,202
109,87737364,-71,71,19,144
109,228128076,10745,307,62,309
109,1597289625,468308,53,15,208
109,2386855107,396875,127,30,339
109,47728601271,-563369,199,45,506
109,2193846039,410164,61,17,460
109,2333097000,-718771,373,73,272
109,4561859169,-487451,131,31,313
109,35093331,-1643,53,15,422
110,34821803016,-19231439,317,65,368
110,17821848,347,347,68,169
110,231723107,43594,307,62,65
110,89101012,-6493,151,35,144
110,445510989,-26536,107,27,222
110,51232964409,31792036,379,74,121
110,10248086772,723697,311,63,284
110,303143841,178324,409,79,135
111,742296503,-185537,167,38,78
111,42227447218,-1218807,367,72,163
111,1189642149376,-946363815,157,36,454
111,1577275063,-499272,293,61,187
111,2651149294904,395601849,383,75,187
111,278050864,-379901,137,32,348
111,5987721376,-7821097,197,44,355
111,2207682048,-1202021,229,49,268
111,2206073888,-2810181,67,18,386
112,4841894151,-898562,173,39,207
112,77100952797,56523272,397,77,256
112,7530594841,-63684,61,17,237
113,2038769863,256150,109,28,82
113,738391927,-199998,271,57,198
113,206819427,13688,59,16,106
113,620217494,-199723,97,24,100
113,32151460432,-21603821,251,53,325
113,158125892775123,-35591170837,401,78,300
113,1518890602502,-392987223,419,80,355
113,206695112,-110627,113,29,145
113,147660552,-57833,383,75,151
113,1298742081,-1179707,137,32,209
113,324646127,-334320,199,45,321
113,3572576384,-2208533,373,73,360
113,737814688,-777237,89,23,383
114,44996875,15921,61,17,74
114,11376665625,-3515737,233,50,161
114,1551893875,50962,307,62,142
115,160787462,43165,97,24,106
115,160638049,-106248,233,50,135
115,74229382097,-34483117,193,43,263
115,436289139,-16810,41,12,152
115,2296125351091,214557040,347,68,194
115,2035409025067,-2024939408,293,61,615
116,662291322,289747,191,42,128
116,503118000,-3197,139,33,180
116,211896531,56027,313,64,179
116,26481070,1007,53,15,188
116,3787274484,625475,197,44,258
116,1721212416,8321,157,36,490
116,26494160,14097,127,30,83
116,344678400,437581,191,42,283
116,22405388544,29735309,109,28,350
116,26492928,12865,83,22,310
116,6542382000,1806439,373,73,343
117,746408949,-72416,73,20,131
117,746408949,-72416,73,20,131
117,1087741967,11978,113,29,287
117,1087741967,11978,113,29,287
117,14398120451,1694126,293,61,126
117,14398120451,1694126,293,61,126
117,576150575,293522,97,24,106
117,576150575,293522,97,24,106
118,1232991045,-191261,307,62,184
118,4855861746131,206416256,149,34,438
118,104190275376,-13629481,293,61,251
118,349729654846,122471095,113,29,323
119,29504860,14859,127,30,60
119,2242555315,1315239,41,12,213
119,8532911772,10301483,409,79,554
119,1623169639,1219584,397,77,119
119,147531846,81841,367,72,107
119,294895029,-4981,293,61,160
119,2359558201,358121,233,50,278
119,18428802392,-2448233,283,60,262
119,58970275,-9727,137,32,103
119,5663505211,1425019,419,80,194
119,2392177470277,-51410843,241,52,239
120,90380089599,-46322126,419,80,162
120,47024206560,2472463,263,55,208
120,376057535625,-116337151,353,70,375
120,610984690848,-297852413,281,59,325
120,1390250088,-925477,97,24,212
121,284664422,-143985,331,66,133
121,21903245,-5094,283,60,73
121,21907067,-1272,53,15,103
121,5586757891,131446,229,49,173
121,9649854539,-11722960,163,37,397
121,591559540,34387,251,53,181
121,12421581250,-446963,227,48,176
121,109417831,-123864,397,77,231
121,6240143777,-3732838,313,64,170
122,23417823,-514,257,54,46
122,23418945,608,19,7,147
122,4475757493350,3581094797,409,79,482
122,12394736640,6436367,113,29,267
122,538705860,84109,349,69,120
122,23425600,7263,269,56,280
122,444843828,-104575,89,23,126
122,7003486413,1403650,419,80,383
122,5782375104,-1954135,149,34,410
122,23417856,-481,37,11,213
122,444970240,21837,251,53,165
122,51451987840,1901451,113,29,299
122,23429120,10783,263,55,269
123,139553765,-29798,317,65,76
123,13141110619,-19625321,331,66,419
123,45820195421,-42975279,353,70,235
123,917443709,180295,337,67,167
123,598009867,-205403,263,55,215
123,258984649,-241968,71,19,236
123,12943390691,-17940159,307,62,283
123,60319784931,-254794,191,42,122
123,7794136350,-2602669,353,70,198
123,10548526989,-2272,71,19,233
123,458831100,199393,317,65,274
124,17045875,-58,29,9,63
124,289890942,110081,67,18,103
124,664622375,-169012,47,14,84
124,153425000,11603,283,60,222
124,119390700,69169,263,55,123
124,486748439375,-100453038,367,72,314
124,1551171875,-8028,223,47,138
124,441933593750,85964457,277,58,200
124,351722573125,47929402,113,29,207
124,477214925,-71199,293,61,131
124,221445125,-152004,239,51,218
125,345177261,259222,113,29,266
125,345445464,527425,73,20,360
125,11195597829,12991933,419,80,236
125,1017830385,1229849,191,42,403
125,309163470,552593,181,41,504
125,18167424,13843,127,30,117
125,1653992560,2016689,353,70,244
