lattice_id,u,s,smoothness_value,smoothness_index,cost
73,595595,-164,41,12,82
73,30970107,-9361,37,11,162
73,2381643,-1393,199,45,137
73,4165425,-4888,47,14,223
73,595000,-759,23,8,374
73,594864,-895,179,40,446
73,7734375,-10492,61,17,473
74,634933,-298,149,34,49
74,86397025,5609,79,21,153
74,68574961,-29987,191,42,237
74,8253840,-4163,181,41,145
74,1905904,211,211,46,123
74,635250,19,19,7,163
74,8246700,-11303,127,30,347
74,10796058,-2869,151,35,91
74,82572791,-7239,127,30,248
74,635040,-191,191,42,245
74,999200160,-18203,167,38,347
74,6991712,4171,97,24,351
75,6768125,1577,83,22,66
75,9587193,1250,5,2,111
75,18046875,2747,67,18,164
75,36498515625,-4755319,83,22,323
75,14338471875,-2098853,199,45,171
75,163047500,86469,41,12,162
76,584766,265,53,15,44
76,28667925,27376,59,16,193
76,5845851,841,29,9,174
76,2338875,871,67,18,219
76,3487704605,-12862,109,28,118
76,4679675,3667,193,43,239
76,585225,724,181,41,217
76,278652231,429755,101,25,412
76,257298363,117923,193,43,211
77,10440125,4788,19,7,38
77,31295810,-10201,101,25,89
77,284791871,191771,73,20,207
77,6640625,-44,11,4,78
77,110872300,-121739,79,21,310
77,76826893,-15134,47,14,254
77,1600685727949,-189834551,79,21,314
77,46492875,8192,2,0,78
77,6645925,5256,73,20,141
77,18969093,-4247,137,32,172
78,4547718450,-1341247,179,40,237
78,550000,663,17,6,109
79,404507520,251591,101,25,195
79,36753750,3211,19,7,143
79,12757500,7313,103,26,133
79,1499553,-469,67,18,98
79,750141,130,13,5,86
79,1091586375,-429641,199,45,219
79,9757256760,-2636383,109,28,328
80,562275,262,131,31,74
80,56189133,-12167,23,8,224
80,7868025,-157,157,36,107
80,65824000,68479,47,14,213
80,10125115,8881,107,27,150
80,1349634000,240787,29,9,221
80,1124695,669,223,47,175
80,2810236,171,19,7,115
80,2811072,1007,53,15,189
80,70306082,54457,71,19,261
80,44925111,-35929,61,17,203
80,9555000,779,41,12,115
80,68001122,-2451,43,13,113
80,561834,-179,179,40,74
80,4492125,-3979,173,39,243
80,3932500,-1591,43,13,170
80,13488475,163,163,37,90
80,1685159,-880,11,4,130
80,561561,-452,113,29,147
81,8470000,4023,149,34,65
81,31948800,38579,223,47,301
82,453977095,963247,137,32,561
83,8289281,-358,179,40,42
83,565354484552,-298243323,157,36,470
83,902613283,-36297,109,28,109
84,6875000,3759,179,40,75
84,982600000,12537,199,45,138
84,4760000,2987,103,26,112
84,7483481600,700151,149,34,257
84,1586032,361,19,7,185
84,3702600,2701,73,20,130
84,48108096,9409,97,24,157
84,4293647568,-878057,149,34,242
84,171802697,21672,43,13,148
84,528899189,342189,197,44,203
84,199883208889,22593264,107,27,286
84,62920000,21717,127,30,113
84,1420615625,-145591,67,18,155
84,528528,-29,29,9,90
84,5812079,-2048,2,0,102
84,228331675,-4949,101,25,162
84,198214016,5141,97,24,169
84,23791313,6248,71,19,170
84,33016435947,-18376553,97,24,338
84,528749793,192793,139,33,174
85,732050,31,31,10,57
85,8047494,-4715,41,12,119
85,36587859,-13091,53,15,106
85,210815759,-5713,197,44,166
85,333499353,430708,79,21,232
86,1587332500,-902589,127,30,222
86,1982540,-1927,47,14,226
86,5944730,-8671,29,9,411
86,6208984375,-14304137,127,30,831
86,5950000,-3401,179,40,247
86,8593750,-5607,89,23,159
86,3173828125,-2642053,227,48,357
87,12252669,3268,43,13,54
87,87198930,12017,197,44,158
87,720300,-253,23,8,108
87,23791313,13064,71,19,58
87,18735003,625,5,2,98
87,1134018711,588842,167,38,203
87,87181185,-5728,179,40,167
87,18000297,-13528,89,23,141
87,208416208,176391,139,33,282
87,720720,167,167,38,183
87,25247924,28569,107,27,139
87,7930160,4077,151,35,213
88,63903125,34278,197,44,91
88,1610510,371,53,15,115
88,3202718750,152279,89,23,212
90,764478,665,19,7,123
90,8403500,1557,173,39,107
90,12990780,5959,101,25,169
90,19102356,7031,89,23,96
90,1680700000,2602839,179,40,530
91,6437475,716,179,40,49
91,11953125,-856,107,27,75
92,92438775,9991,103,26,172
92,6597591,-4465,47,14,138
92,686616315,2491,53,15,268
92,268352973,144448,61,17,160
92,6609141,7085,109,28,242
92,9075807,-2020,101,25,144
92,214496667,-70153,73,20,160
92,16495083,-10057,113,29,294
93,7472673,3376,211,46,57
93,44310106620,24644707,103,26,195
93,4755784,2595,173,39,165
93,61799760,8303,23,8,216
93,7474194,4897,83,22,79
93,186670302,-62123,73,20,164
93,16965234,-10441,197,44,138
93,44168652,31897,191,42,190
93,23762752,-3193,103,26,410
93,11547360,3901,83,22,306
94,299769652,119527,89,23,118
94,3195731,-537,179,40,114
95,83604521,-25414,131,31,244
95,147962546281,-15977594,181,41,243
95,1546224273,-2478227,107,27,589
96,6514638,-343,7,3,53
96,7696920,-2603,137,32,173
96,296416029,280529,79,21,190
96,14816571,9796,79,21,266
96,214943750,-50623,71,19,140
96,3727124625,555493,223,47,137
96,7700000,477,53,15,168
96,7703584,4061,131,31,163
96,4151485,5588,127,30,199
96,592900,629,37,11,201
96,239955833,86078,223,47,135
97,29816997,-7138,83,22,57
97,59648043,-227,227,48,91
98,4956350,-193,193,43,73
98,178901982,-84293,97,24,92
98,732896775,-120862,97,24,210
98,16117612875,-8775139,227,48,464
98,40213189954,-58721921,223,47,347
98,235922260,-339623,137,32,395
98,11250185625,-11630798,73,20,457
99,4231249,-343,7,3,90
99,13752585,-89,89,23,147
99,48152313,17954,191,42,109
99,529254,305,61,17,91
99,116917020,19291,191,42,181
99,255977415,-33901,167,38,170
99,2644928,183,61,17,85
99,8997560,5427,67,18,138
99,320006232,-7913,193,43,216
99,29108352,16157,151,35,168
99,3702600,-43,43,13,82
99,528768,-181,181,41,127
99,6878200,1863,23,8,107
99,25940640,22139,131,31,147
99,203751936,106571,79,21,156
100,156377286065,3051452,157,36,174
100,9522123156,2994431,239,51,186
100,262994339335,25903273,283,60,171
100,30819546758,-22430311,179,40,314
100,220359321,-83660,89,23,101
100,340247193,-437414,257,54,405
100,440839035,-46927,281,59,127
101,618566641,-407584,271,57,185
101,495196009,16629,241,52,157
101,544844475,147157,101,25,123
101,74276111,-796,199,45,122
101,322063623,197026,79,21,209
101,2009723016609,-1943214641,251,53,378
101,4953645249,1851449,193,43,223
103,1675002095,824877,223,47,219
103,51256205,5882,173,39,111
103,290424960,6463,281,59,139
103,85398768,-18437,179,40,107
103,17082520,-921,307,62,135
103,17075520,-7921,89,23,193
103,768059116,-695729,239,51,273
103,17945858359,8245309,79,21,351
103,2034008064,1078585,113,29,350
103,837017984,-70625,113,29,249
103,461228768,-24139,239,51,231
103,9685080064,-1230983,179,40,498
104,234114276,47677,139,33,193
104,9705100896,339599,173,39,313
104,67934252164,923085,281,59,109
105,307778625,-79328,67,18,183
105,1278991175,196601,89,23,179
106,238164696,120773,89,23,103
106,934277120,412499,181,41,247
106,2180555520,1538071,199,45,202
106,18322304,11233,239,51,137
106,18314100,3029,233,50,107
106,238034850,-9073,211,46,227
106,347864965,-45384,61,17,270
106,18311040,-31,31,10,137
106,2438142720,2770277,277,58,202
106,238336000,292077,83,22,330
107,207532836,191383,157,36,201
107,3190501622,4982935,223,47,338
107,15941468312,13874877,199,45,278
108,300938625,-330799,157,36,490
108,169534625,70574,71,19,73
108,207104625,-18104,73,20,147
108,56474935,-13082,211,46,63
108,18828810,-529,23,8,102
108,27524345550,-22977407,181,41,280
109,885780500,-330257,173,39,149
109,16836915744,811361,283,60,444
109,18106088,22195,193,43,224
109,307580000,153819,211,46,318
109,307485360,59179,83,22,276
109,3056446932,269015,311,63,148
109,307514240,88059,197,44,507
110,20820969,700,7,3,56
110,3953156571,-2694539,307,62,184
110,55387633275,-35922803,109,28,237
112,21014532,5293,79,21,114
112,751412398100,563205479,293,61,344
112,21003948,-5291,37,11,202
112,693889000,584113,107,27,391
112,399171240,-4301,23,8,316
112,273042576,-77531,61,17,405
113,230567090,40959,41,12,47
113,230630075,103944,71,19,119
114,19307002,3425,137,32,43
114,463030513,-255335,229,49,174
114,2258997400,478891,43,13,239
114,3648325018,-51035,173,39,269
114,2779161275,-553813,113,29,325
114,5095532689,-611639,131,31,197
115,24046875,-206,103,26,113
115,673359375,41107,101,25,122
115,69445796875,-2173053,173,39,198
115,24048024,943,41,12,221
115,456663350,-231189,109,28,167
115,216388172,-35557,37,11,223
115,12020825817,-2714683,233,50,318
115,192377185,537,179,40,203
115,601057457,-119568,53,15,115
116,130153408,3893,229,49,95
116,26042368,12465,277,58,241
116,3513874364,-162541,191,42,191
116,13668987904,3288829,257,54,323
116,4920227840,576173,47,14,292
116,2706784157,-325755,127,30,143
116,26046720,16817,251,53,123
116,6025117696,12210103,227,48,583
116,11074043904,11335129,101,25,326
117,51354875,1448,181,41,78
117,188245551,-50348,307,62,110
117,325390625,152254,283,60,337
118,6412350945,-154744,29,9,115
119,219932211906,-295405669,179,40,499
120,8436285000,3546197,383,75,163
120,25285358384,-12858025,353,70,450
120,160338750000,116712743,353,70,367
120,87587500,50419,397,77,253
120,7088000920,-2502641,401,78,482
120,355194120600,172899091,317,65,316
121,8542188963,-10485245,157,36,434
121,8537599665,-15074543,83,22,649
123,56824625,22892,97,24,101
123,359484125,-260184,293,61,244
123,624771875,-47188,251,53,335
123,322071750,195263,239,51,159
123,18933750,-161,23,8,235
123,27359988084,486689,277,58,167
123,94673124,3569,83,22,207
123,321892870,16383,127,30,264
123,18916172,-17739,73,20,211
124,471309003,5359,233,50,123
124,14438133269,-3956965,293,61,164
124,908300701,-642041,149,34,137
124,159501826715,-17624506,157,36,189
124,16839900,7627,263,55,163
124,1296042345,-42676,227,48,123
124,40421678022,7390549,257,54,155
124,117938700,112789,61,17,211
124,218993544,173995,89,23,202
124,84187366,26001,107,27,130
124,16823807,-8466,83,22,97
124,6075688905,-761648,263,55,174
124,1363415053,940,47,14,101
124,40433317650,19030177,277,58,266
125,29638973,14760,41,12,61
125,2814413784,113549,419,80,111
125,88909030,36391,241,52,133
125,562832816,-27231,313,64,97
125,773932862976,298351,73,20,293
125,2606940973,10229,193,43,102
126,38014691,18765,139,33,57
126,627485170,552391,73,20,104
126,32220378125,37828803,67,18,225
127,24505338,2009,41,12,58
128,19047990,-1147,37,11,110
